x,y,z,a
2.604434051513672,-5.608686676025391,-7.204218750000001,9.4942725238093
2.900069274902344,-5.749543762207032,-6.950646057128907,9.475185269125243
2.7388545227050782,-5.800138549804688,-7.18790267944336,9.63373635837215
2.2246737670898438,-5.607638854980469,-7.754624176025391,9.824916437775023
1.7077986145019532,-5.473817138671875,-8.242609405517578,10.040909320735826
1.4082714843750002,-5.445376281738281,-8.402776336669922,10.111478704300454
1.5738272094726564,-5.702840881347656,-8.246651000976563,10.149215680788066
1.7438735961914062,-5.795797576904297,-8.004005584716797,10.034763080019426
1.7883311462402345,-5.647755432128907,-7.94233383178711,9.908377082312956
1.652413787841797,-5.538782043457031,-7.873926086425782,9.767665527937991
1.6938775634765626,-5.48743881225586,-7.833061065673829,9.712777747733988
1.6507672119140626,-5.492827606201172,-7.946525115966797,9.800175963627764
1.289418640136719,-5.376070404052735,-8.076604614257812,9.787557178066157
1.144519958496094,-5.3087104797363285,-8.172555084228517,9.812389591623825
1.3668077087402344,-5.564528503417969,-8.121810607910156,9.939615099629597
1.5872991943359376,-5.739813995361328,-7.906857604980469,9.898655495526793
1.7113911437988283,-5.793103179931641,-7.786956939697266,9.855232238821495
1.6491206359863282,-5.6645205688476565,-7.770042114257813,9.756021043656792
1.4648538208007813,-5.481600952148438,-7.886200561523438,9.715240862247414
1.3398637390136718,-5.635780334472656,-7.953710174560547,9.839652451101125
1.2879217529296876,-5.818400573730469,-7.97586410522461,9.956251096826902
1.2677137756347656,-5.7895106506347656,-8.024662628173829,9.976008324312748
1.2952565002441407,-5.706134033203125,-7.985294494628906,9.899625405653206
1.3739927673339845,-5.679788818359375,-7.953410797119141,9.869376903005458
1.4081217956542968,-5.628595275878906,-7.925868072509766,9.82259011024448
1.3862672424316407,-5.6326368713378905,-7.936046905517578,9.830014012114594
1.2889695739746094,-5.661826171875,-7.868836669921875,9.779381815895531
1.354084167480469,-5.66467025756836,-7.818990325927735,9.74980219166278
1.4702426147460939,-5.651946716308594,-7.7794725036621095,9.727605433272966
1.5741265869140626,-5.674100646972657,-7.837402038574219,9.802967070119768
1.4831158447265627,-5.617518310546875,-7.852670288085938,9.768345572900055
1.4180012512207032,-5.574258270263672,-7.950866088867188,9.813223444677321
1.4733860778808594,-5.574108581542969,-8.076005859375,9.922873759853214
1.4976356506347657,-5.606141967773437,-8.076305236816406,9.944769810463738
1.5310162353515626,-5.7031402587890625,-7.958200836181641,9.9097315843232
1.5967295837402344,-5.638624420166016,-7.934999084472657,9.864473690261722
1.6875906372070313,-5.5271063232421875,-7.985593872070313,9.857310787271523
1.5178436279296876,-5.554948425292969,-8.092920684814453,9.93260622884091
1.5370037841796875,-5.541027374267578,-8.158184967041016,9.98104939129245
1.8459613037109377,-5.4601954650878906,-8.236771545410157,10.053144440573954
1.9067349243164065,-5.409600677490235,-8.081544342041017,9.910135040143794
1.6643888854980469,-5.387596435546875,-7.858508148193359,9.67225599483948
1.4874568176269531,-5.5431230163574226,-7.721243591308594,9.620620726081054
1.4447955322265627,-5.6452107238769536,-7.887697448730469,9.806712460841622
1.5148498535156252,-5.591921539306641,-7.978259124755859,9.859866897793703
1.6721726989746095,-5.47306869506836,-8.070467376708985,9.893588133465903
1.7381854248046875,-5.475613403320313,-7.996521148681641,9.846216592932397
1.7091458129882813,-5.62111083984375,-7.927215270996094,9.867056726125474
1.6838484191894532,-5.7543338012695315,-7.888296203613281,9.908224865796072
1.6678317260742188,-5.580545196533204,-7.995623016357422,9.892124886835694
1.6000227355957033,-5.550457763671876,-8.099656677246093,9.948471864059615
1.535057830810547,-5.665418701171875,-8.106093292236329,10.008102720593929
1.5250286865234375,-5.74610092163086,-7.966583404541016,9.940313850065035
1.654808807373047,-5.697302398681641,-7.783663787841797,9.786882484894907
1.738484802246094,-5.688021697998047,-7.670948181152344,9.706666072471108
1.6961228942871094,-5.678740997314454,-7.651338958740235,9.678218846907779
1.5667918395996094,-5.591023406982422,-7.671696624755859,9.621294533915469
1.4510824584960937,-5.69775146484375,-7.717351684570313,9.701934295789908
1.5970289611816406,-5.7913069152832035,-7.830965423583985,9.869840766457576
